team_global_id,player_global_id,player_firstname,player_lastname,player_position,player_number,player_status,           player_id,player_height,player_weight,player_birthdate,           player_birthcity,player_birthstate,player_birthcountry,player_schoolid,           player_school,player_highschoolstate,player_firstyear,player_experience,           player_suspended,player_draftround,player_draftpick,
16,457569,Malcolm,Lee,Shooting Guard,3,true,4924,77,200,1990,Riverside,California,United States,64,UCLA,CA,2011,1,false,2,13,
16,503689,Ricky,Rubio,Point Guard,9,true,4610,76,180,1990,Barcelona,,Spain,,None,,2011,1,false,1,5,
16,292385,Martell,Webster,Guard-Forward,5,false,3932,79,230,1986,Edmonds,Washington,United States,,None,WA,2005,7,false,1,6,
16,62414,Luke,Ridnour,Guard,13,true,3717,74,175,1981,Coeur d'Alene,Idaho,United States,60,Oregon,WA,2003,9,false,1,14,
16,173520,J.J.,Barea,Point Guard,11,true,4203,72,175,1984,Mayaguez,,Puerto Rico,197,Northeastern,,2006,6,false,Undrafted,,
16,395374,Kevin,Love,Forward-Center,42,true,4391,82,250,1988,Santa Monica,California,United States,64,UCLA,OR,2008,4,false,1,5,
16,509168,Derrick,Williams,Forward,7,true,4883,80,241,1991,La Mirada,California,United States,57,Arizona,CA,2011,1,false,1,2,
16,405345,Michael,Beasley,Forward,10,true,4388,82,230,1989,Frederick,Maryland,United States,21,Kansas State,MA,2008,4,false,1,2,
16,456452,Nikola,Pekovic,Center,14,true,4493,83,290,1986,Bijelo Polje,,Yugoslavia,,None,,2010,2,false,2,1,
16,329670,Wayne,Ellington,Shooting Guard,24,true,4633,76,200,1987,Wynnewood,Pennsylvania,United States,6,North Carolina,PA,2009,3,false,1,28,
16,398589,Anthony,Randolph,Forward-Center,15,true,4476,83,225,1989,Wurzbach,,West Germany,76,LSU,TX,2008,4,false,1,14,
16,229905,Anthony,Tolliver,Forward,44,false,4371,80,240,1985,Springfield,Missouri,United States,668,Creighton,,2008,4,false,Undrafted,,
16,3287,Brad,Miller,Center,52,true,3305,84,261,1976,Fort Wayne,Indiana,United States,35,Purdue,IN,1998,14,false,Undrafted,,
16,329544,Wes,Johnson,Guard-Forward,14,true,4719,79,215,1987,Corsicana,Texas,United States,14,Syracuse,TX,2010,2,false,1,4,
16,214153,Darko,Milicic,Center,31,false,3705,84,275,1985,Novi Sad,,Yugoslavia,,None,,2003,9,false,1,2,
19,329873,Ishmael,Smith,Point Guard,10,true,4800,72,175,1988,Charlotte,North Carolina,United States,9,Wake Forest,NC,2010,2,false,Undrafted,,
19,3233,Larry,Hughes,Guard-Forward,20,false,3251,77,185,1979,St. Louis,Missouri,United States,654,Saint Louis,MO,1998,13,false,1,8,
19,263904,Glen,Davis,Forward-Center,11,true,4313,81,289,1986,Baton Rouge,Louisiana,United States,76,LSU,LA,2007,5,false,2,5,
19,469487,DeAndre,Liggins,Guard-Forward,34,true,4935,78,209,1988,Chicago,Illinois,United States,69,Kentucky,NV,2011,1,false,2,23,
19,253975,Dwight,Howard,Center,12,true,3818,83,265,1985,Atlanta,Georgia,United States,,None,GA,2004,8,false,1,1,
19,3396,Hedo,Turkoglu,Forward,15,true,3415,82,220,1979,Istanbul,,Turkey,,None,,2000,12,false,1,16,
19,61934,Jameer,Nelson,Point Guard,14,true,3837,72,190,1982,Chester,Pennsylvania,United States,630,St. Joseph's,PA,2004,8,false,1,20,
19,3398,Quentin,Richardson,Guard-Forward,5,true,3417,78,228,1980,Chicago,Illinois,United States,652,DePaul,IL,2000,12,false,1,18,
19,172643,J.J.,Redick,Shooting Guard,7,true,4139,76,190,1984,Cookeville,Tennessee,United States,2,Duke,VA,2006,6,false,1,11,
19,229987,Von,Wafer,Guard,1,false,3965,77,209,1985,Homer,Louisiana,United States,3,Florida State,TX,2005,6,false,2,9,
19,3496,Jason,Richardson,Guard-Forward,23,true,3515,78,225,1981,Saginaw,Michigan,United States,30,Michigan State,MI,2001,11,false,1,5,
19,509453,Daniel,Orton,Forward-Center,21,true,4760,82,255,1990,Oklahoma City,Oklahoma,United States,69,Kentucky,OK,2010,1,false,1,29,
19,395648,Justin,Harper,Power Forward,32,true,4914,82,225,1989,Richmond,Virginia,United States,198,Richmond,VA,2011,1,false,2,2,
19,62845,Chris,Duhon,Point Guard,26,true,3855,73,190,1982,Mamou,Louisiana,United States,2,Duke,LA,2004,8,false,2,9,
19,329715,Ryan,Anderson,Forward-Center,33,true,4483,82,240,1988,Sacramento,California,United States,59,California,CA,2008,4,false,1,21,
19,332500,Earl,Clark,Forward,7,true,4619,82,225,1988,Plainfield,New Jersey,United States,100,Louisville,NJ,2009,3,false,1,14,
18,172890,Carmelo,Anthony,Forward,7,true,3706,80,230,1984,New York,New York,United States,14,Syracuse,VA,2003,9,false,1,3,
18,329511,Jerome,Jordan,Center,44,false,4775,84,240,1986,Kingston,,Jamaica,107,Tulsa,FL,2011,1,false,2,14,
18,457186,Iman,Shumpert,Guard,21,true,4898,77,220,1990,Oak Park,Illinois,United States,4,Georgia Tech,IL,2011,1,false,1,17,
18,3227,Mike,Bibby,Point Guard,20,false,3245,74,195,1978,Cherry Hill,New Jersey,United States,57,Arizona,AZ,1998,14,false,1,2,
18,262894,Toney,Douglas,Guard,23,true,4634,74,185,1986,Tampa,Florida,United States,3,Florida State,GA,2009,3,false,1,29,
18,3493,Tyson,Chandler,Center,6,true,3512,85,240,1982,Hanford,California,United States,,None,CA,2001,11,false,1,2,
18,469488,Josh,Harrellson,Forward-Center,57,true,4927,82,275,1989,St. Charles,Missouri,United States,69,Kentucky,MO,2011,1,false,2,15,
18,351927,Bill,Walker,Guard-Forward,5,false,4509,78,235,1987,Huntington,West Virginia,United States,21,Kansas State,OH,2008,4,false,2,17,
18,168039,Dan,Gadzuric,Forward-Center,50,true,3631,83,245,1978,Den Haag,,Netherlands,64,UCLA,MA,2002,10,false,2,5,
18,3308,Baron,Davis,Point Guard,85,false,3326,75,215,1979,Los Angeles,California,United States,64,UCLA,CA,1999,13,false,1,3,
18,168015,Amar'e,Stoudemire,Forward-Center,1,true,3607,82,260,1982,Lake Wales,Florida,United States,,None,FL,2002,10,false,1,9,
18,172571,Steve,Novak,Forward,16,true,4160,82,240,1983,Libertyville,Illinois,United States,653,Marquette,WI,2006,6,false,2,2,
18,340730,Jeremy,Lin,Point Guard,17,true,4795,75,200,1988,Palo Alto,California,United States,131,Harvard,CA,2010,2,false,Undrafted,,
18,168017,Jared,Jeffries,Forward-Center,24,true,3609,83,240,1981,Bloomington,Indiana,United States,27,Indiana,IN,2002,10,false,1,11,
18,229879,Renaldo,Balkman,Forward,32,false,4148,80,225,1984,Staten Island,New York,United States,70,South Carolina,NC,2006,6,false,1,20,
18,330046,Landry,Fields,Guard-Forward,9,true,4770,79,215,1988,Long Beach,California,United States,63,Stanford,CA,2010,2,false,2,9,
18,253997,J.R.,Smith,Guard-Forward,8,true,3835,78,220,1985,Freehold,New Jersey,United States,,None,NJ,2004,8,false,1,18,
